Neighborhood,Latitude,Longitude,Cluster Labels
Altos De Riomar,11.015578,-74.820644,1
Miramar,11.003472,-74.835111,1
Andalucia,11.016125,-74.815162,1
Altos Del Limon,11.013992,-74.826282,1
El Golf,11.008695,-74.808828,1
Riomar,11.011865,-74.83165,1
Villa Country,11.006075,-74.804908,1
El Tabor,11.002278,-74.82894,4
Alto Prado,11.001832,-74.809796,3
Prado,11.001382,-74.798429,2
Villa Campestre,11.023403,-74.86223,0
Los Nogales,10.993977,-74.827701,3
Villa Del Mar,11.005024,-74.827649,1
Ciudad Jardin,10.99472,-74.818642,1
Boston,10.986946,-74.793942,3
Las Tres Aves Marias,11.021004,-74.808954,1
El Recreo,10.980112,-74.800932,3
