Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
Altos De Riomar,11.015578,-74.820644,1,Soccer Field,Skating Rink,Steakhouse,Fast Food Restaurant,Dessert Shop
Miramar,11.003472,-74.835111,1,Gym / Fitness Center,Nightclub,Shopping Mall,Fast Food Restaurant,Vegetarian / Vegan Restaurant
Andalucia,11.016125,-74.815162,1,Pizza Place,Restaurant,Supermarket,Gym,Gym / Fitness Center
Altos Del Limon,11.013992,-74.826282,1,Fast Food Restaurant,Shopping Mall,Ice Cream Shop,Department Store,Clothing Store
El Golf,11.008695,-74.808828,1,Bar,Spa,Bakery,Italian Restaurant,Shopping Mall
Riomar,11.011865,-74.83165,1,Shopping Mall,Ice Cream Shop,Clothing Store,Sandwich Place,Toy / Game Store
Villa Country,11.006075,-74.804908,1,Italian Restaurant,Mexican Restaurant,Mediterranean Restaurant,Coffee Shop,Park
El Tabor,11.002278,-74.82894,4,Fast Food Restaurant,Middle Eastern Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Mobile Phone Shop
Alto Prado,11.001832,-74.809796,3,Pizza Place,Hotel,Bar,Steakhouse,Shopping Mall
Prado,11.001382,-74.798429,2,Italian Restaurant,Juice Bar,Burger Joint,Hotel,Bistro
Villa Campestre,11.023403,-74.86223,0,Snack Place,Fast Food Restaurant,Pizza Place,Gym,Mexican Restaurant
Los Nogales,10.993977,-74.827701,3,Pharmacy,Gym,Scenic Lookout,Fast Food Restaurant,Vegetarian / Vegan Restaurant
Villa Del Mar,11.005024,-74.827649,1,Fast Food Restaurant,Middle Eastern Restaurant,Restaurant,Nightclub,Seafood Restaurant
Ciudad Jardin,10.99472,-74.818642,1,Burger Joint,Middle Eastern Restaurant,Steakhouse,Bakery,Pizza Place
Boston,10.986946,-74.793942,3,Caribbean Restaurant,Soccer Field,Gym / Fitness Center,Park,Bus Station
Las Tres Aves Marias,11.021004,-74.808954,1,Park,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Falafel Restaurant,Comfort Food Restaurant
El Recreo,10.980112,-74.800932,3,Fast Food Restaurant,Soccer Field,Department Store,Bakery,Comfort Food Restaurant
